antecedents,consequents,support,confidence,lift
Brown Bread,Curd,0.010578968103247674,0.18643736807990827,0.7397535245328994
Brown Bread,Fresh Milk,0.015979850662343698,0.2816192723827885,0.8458850773730507
Fresh Milk,Curd,0.07226898601895684,0.21707057302252067,0.8613011603819719
Curd,Fresh Milk,0.07226898601895684,0.2867517261830704,0.8613011603819718
Milk,Curd,0.01668077714427981,0.18353640662735768,0.7282429755417842
Paneer,Curd,0.026593004550953207,0.23214006404715454,0.9210944797856861
Curd,Paneer,0.026593004550953207,0.10551676977147312,0.9210944797856861
Salted Butter,Curd,0.011817436589494024,0.14764499690712538,0.5858316278895455
Wheat Bread,Curd,0.014567152552770475,0.18018903415271464,0.7149611393329601
White Bread,Curd,0.011503163128202118,0.17081769549630293,0.6777771730923475
White Eggs,Curd,0.011365476930606863,0.157569596752315,0.6252108456433112
Paneer,Fresh Milk,0.02212621910636471,0.1931478600182757,0.5801481238610838
Salted Butter,Fresh Milk,0.01480692457837728,0.18499513976847626,0.5556602245033696
Wheat Bread,Fresh Milk,0.019600478978217525,0.24244898673378032,0.7282313393082094
White Bread,Fresh Milk,0.018245778821740933,0.2709430315930988,0.813817411371255
White Eggs,Fresh Milk,0.014127452623806179,0.19586129351737755,0.5882983221266862
